taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2390	Scrophulariaceae	2390	Scrophulariaceae	16	FAMILY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Scrophulariaceae	2390					NE
2643107	Caulerpa racemosa var. macra Weber Bosse, 1913	7896183	Caulerpa macra (Weber Bosse) Draisma & Prud'homme, 2014	4	VARIETY	SYNONYM	Plantae	6	Chlorophyta	36	Ulvophyceae	195	Bryopsidales	625	Caulerpaceae	4674	Caulerpa	2642861	Caulerpa macra	7896183	
2654155	Sirodotia delicatula Skuja	2654155	Sirodotia delicatula Skuja	1	SPECIES	ACCEPTED	Plantae	6	Rhodophyta	106	Florideophyceae	342	Batrachospermales	663	Batrachospermaceae	4888	Sirodotia	2654149	Sirodotia delicatula	2654155	NE
2670280	Mitthyridium obtusifolium (Lindb.) H.Rob.	7656877	Mitthyridium fasciculatum subsp. obtusifolium (Lindb.) M.Menzel	3	SPECIES	SYNONYM	Plantae	6	Bryophyta	35	Bryopsida	327	Dicranales	1335	Calymperaceae	4670	Mitthyridium	2670262	Mitthyridium fasciculatum	2670266	NE
2670321	Syrrhopodon armatus Mitt.	2670321	Syrrhopodon armatus Mitt.	1	SPECIES	ACCEPTED	Plantae	6	Bryophyta	35	Bryopsida	327	Dicranales	1335	Calymperaceae	4670	Syrrhopodon	2670288	Syrrhopodon armatus	2670321	NE
2682632	Gollania elbertii Broth.	2682632	Gollania elbertii Broth.	4	SPECIES	ACCEPTED	Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Hypnaceae	8751	Gollania	2682623	Gollania elbertii	2682632	NE
2688421	Lycopodium phlegmaria L.	7448919	Phlegmariurus phlegmaria (L.) Holub	201	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Lycopodiopsida	245	Lycopodiales	421	Lycopodiaceae	6725	Phlegmariurus	7641693	Phlegmariurus phlegmaria	7448919	NE
2693391	Flagellaria L.	2693391	Flagellaria L.	26	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Flagellariaceae	3742	Flagellaria	2693391			
2702444	Dichanthium Willemet	2702444	Dichanthium Willemet	2	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Dichanthium	2702444			NE
2725150	Carex nubigena var. fallax (Steud.) C.B.Clarke	7227140	Carex nubigena subsp. nubigena	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex nubigena	7919351	
2734825	Daemonorops microstachys Becc.	12178150	Calamus kunstleri subsp. microstachys (Becc.) A.J.Hend.	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Arecales	552	Arecaceae	7681	Calamus	8494406	Calamus kunstleri	9566116	NE
2739403	Pinanga disticha (Roxb.) H.Wendl.	2739403	Pinanga disticha (Roxb.) H.Wendl.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Arecales	552	Arecaceae	7681	Pinanga	2739291	Pinanga disticha	2739403	NE
2758521	Boesenbergia pulchella var. attenuata R.M.Sm.	2758520	Boesenbergia pulchella (Ridl.) Merr.	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Zingiberales	627	Zingiberaceae	4687	Boesenbergia	2758458	Boesenbergia pulchella	2758520	
2762679	Musa salaccensis Zoll. ex Backer	2762679	Musa salaccensis Zoll. ex Backer	2	SPECIES	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Zingiberales	627	Musaceae	4686	Musa	2760990	Musa salaccensis	2762679	NE
2762924	Musa johnsii Argent	2762924	Musa johnsii Argent	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Zingiberales	627	Musaceae	4686	Musa	2760990	Musa johnsii	2762924	NE
