,np_id,species_list,org_id,pref_name,molecule_chembl_id,pubchem_cid,smiles,ro5_fulfilled,ROMol
0,NPC116775,Myrsine capitellata; Equisetum hyemale; Afrocarpus falcatus; Tropaeolum majus; Ixeris chinensis; Centaurea solstitialis; Peganum harmala; Capparis spinosa; Allium tuberosum; Moringa oleifera; Brassica rapa; Alangium longiflorum; Centella asiatica; Impatiens balsamina; Rivina humilis; Nephelium lappaceum; Alstonia muelleriana; Garcinia macrophylla; Corchorus olitorius; Chenopodium quinoa; Phalaris canariensis; Nasturtium officinale; Carum carvi; Diospyros eriantha; Cyrtomium falcatum; Persicaria glabra; Payena lucida; Pteridium aquilinum; Salvia hispanica; Cucumis melo; Caulerpa serrulata; Aristolochia zollingeriana; Rhododendron mucronatum; Houttuynia cordata; Gouania microcarpa; Prunus persica; Lonicera japonica; Glochidion sphaerogynum; Lepidium sativum; Mitragyna speciosa; Hunteria zeylanica; Scolopia chinensis; Rhodiola rosea; Daucus carota; Pyrrosia lingua; Alphitonia macrocarpa; Capsicum annuum; Glinus lotoides; Vitis vinifera; Agrimonia pilosa; Rosa chinensis; Carthamus tinctorius; Atalantia racemosa; Canella winterana; Salacia elliptica; Croton cascarilloides; Melia azedarach; Erythrospermum zeylanicum; Thymus vulgaris; Zingiber officinale; Psychotria serpens; Ipomoea aquatica; Pseudognaphalium affine; Phyllanthus urinaria; Vigna unguiculata; Dichotomaria marginata; Punica granatum; Anethum graveolens; Tarenaya spinosa; Solanum nigrum; Allium ampeloprasum; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Bombax ceiba; Indigofera spicata; Kaempferia galanga; Urtica dioica; Allium cepa; Vicia faba; Clausena lansium; Solanum aculeatissimum; Rosulabryum capillare; Eugenia uniflora; Osmanthus heterophyllus; Diplopterygium glaucum; Targionia hypophylla; Cibotium barometz; Magnolia sprengeri; Cucurbita moschata; Beta vulgaris; Smilax china; Albertisia papuana; Senna siamea; Persicaria orientalis; Tephrosia pumila; Diphasiastrum thyoides; Ophiorrhiza blumeana; Walsura tubulata; Tephrosia vogelii; Annona muricata; Isodon japonicus; Euphorbia hirta; Frullania tamarisci; Macadamia ternifolia; Apium graveolens; Vigna radiata; Murraya paniculata; Carica papaya; Citrus maxima; Crinum latifolium; Morus alba; Foeniculum vulgare; Ipomoea batatas; Oroxylum indicum; Cuscuta australis; Radermachera xylocarpa; Eragrostis viscosa; Nauclea officinalis; Brassica juncea; Persicaria hydropiper; Euonymus alatus; Crescentia cujete; Sarcandra glabra; Mangifera indica; Pogostemon cablin; Urena lobata; Samadera indica; Spinulum annotinum; Solanum lycopersicum; Citrus limon; Desmodium styracifolium; Zingiber spectabile; Pteris dactylina; Nelumbo nucifera; Sinningia cardinalis; Syzygium aromaticum; Dicranopteris linearis; Morinda citrifolia; Solanum tuberosum; Erigeron annuus; Fagraea gracilipes; Croton nitens; Portulaca oleracea; Syzygium nervosum; Phaseolus vulgaris; Dipteryx odorata; Phegopteris connectilis; Glycine tomentella; Myristica fragrans; Bauhinia purpurea; Bauhinia glauca; Etlingera elatior; Petroselinum crispum; Limnocharis flava; Cocos nucifera; Jasminum multiflorum; Amaranthus hypochondriacus; Ixora coccinea; Canarium strictum; Allium sativum; Helicteres angustifolia; Brassica napus; Citrus aurantium; Eucalyptus resinifera; Cucumis sativus; Raphanus sativus; Brassica oleracea; Glycine max; Solanum melongena; Debregeasia orientalis; Sinapis alba; Asparagus officinalis; Artocarpus altilis; Camellia sinensis; Porophyllum ruderale; Artemisia lactiflora; Kaempferia rotunda; Pteris semipinnata; Citrullus lanatus; Catunaregam spinosa; Pyrostegia venusta; Typha angustifolia; Indigofera linnaei,NPO2838,Kaempferol,CHEMBL150,5280863,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017e6c0>
1,NPC125062,Callicarpa japonica; Avrainvillea longicaulis; Brassica rapa; Dodonaea viscosa; Aristolochia zollingeriana; Lepidium sativum; Zea mays; Bryum argenteum; Daucus carota; Capsicum annuum; Entada phaseoloides; Jackiella javanica; Pangium edule; Anethum graveolens; Magnolia montana; Exallage auricularia; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Sterculia foetida; Allium cepa; Diplopterygium glaucum; Targionia hypophylla; Senna siamea; Diphasiastrum thyoides; Annona muricata; Euphorbia hirta; Gmelina asiatica; Virola surinamensis; Vigna mungo; Morus alba; Foeniculum vulgare; Phyllanthus emblica; Cuscuta australis; Solanum lycopersicum; Desmodium styracifolium; Nelumbo nucifera; Portulaca oleracea; Phaseolus vulgaris; Oenanthe javanica; Myristica fragrans; Bauhinia glauca; Petroselinum crispum; Limnocharis flava; Amaranthus hypochondriacus; Allium sativum; Helicteres angustifolia; Eucalyptus resinifera; Cucumis sativus; Brassica oleracea; Solanum melongena; Sinapis alba; Typha angustifolia,NPO4640,Isorhamnetin,CHEMBL379064,5281654,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017f450>
2,NPC176775,Mentha canadensis; Chromolaena odorata; Kaempferia pulchra; Drosera peltata; Polygala glomerata; Mentha arvensis; Dipterocarpus alatus; Citrus reticulata; Bursaria spinosa; Sesbania punicea; Securidaca inappendiculata; Bauhinia racemosa,NPO25144,Gardenin B,CHEMBL226512,96539,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)c(OC)c3o2)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017ef10>
3,NPC213603,Pterocarpus indicus,NPO7255,Angolensin,CHEMBL1373918,3584988,COc1ccc(C(C)C(=O)c2ccc(O)cc2O)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017ec00>
4,NPC231018,Prunus cerasoides; Mentha canadensis; Phytolacca americana; Ocimum basilicum; Mentha arvensis; Mentha piperita,NPO33595,Xanthomicrol,CHEMBL476121,73207,COc1c(OC)c(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1OC,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017e960>
5,NPC250361,Murraya koenigii,NPO3364,Carbazole,CHEMBL243580,6854,c1ccc2c(c1)[nH]c1ccccc12,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017f530>
6,NPC124302,Coptis teeta,NPO22622,"6,7-Dimethoxy-3-(6-Methyl-7,8-Dihydro-5H-[1,3]Dioxolo[4,5-G]Isoquinolin-5-Yl)-3H-2-Benzofuran-1-One",CHEMBL1256868,1309,COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017f5a0>
7,NPC223185,Coix lacryma-jobi,NPO12126,4-Ketopinoresinol,CHEMBL479035,44578390,COc1cc([C@H]2OC(=O)[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017f6f0>
8,NPC266572,Morus alba,NPO7154,Glabrone,CHEMBL600457,5317652,CC1(C)C=Cc2c(ccc(-c3coc4cc(O)ccc4c3=O)c2O)O1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017f760>
9,NPC66991,Quercus petraea,NPO28250,"(2R,3'r,6's)-3'-Hydroxy-2',2',6'-Trimethylspiro[3H-1-Benzofuran-2,1'-Cyclohexane]-5-Carboxylic Acid",CHEMBL1079167,44416729,C[C@H]1CC[C@@H](O)C(C)(C)[C@@]12Cc1cc(C(=O)O)ccc1O2,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017f920>
10,NPC103647,Mascarenhasia arborescens; Kummerowia striata; Sida cordifolia; Solanum sisymbriifolium; Salacia chinensis; Merremia umbellata,NPO9780,3-Oxo-29-Hydroxyfriedelane,CHEMBL516320,14108943,C[C@H]1C(=O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(CO)CC[C@]3(C)CC[C@]12C,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017fa00>
11,NPC66052,Duranta erecta; Carum carvi; Phalaenopsis amabilis; Calophyllum teysmannii; Rheum officinale; Punica granatum; Xanthium strumarium; Rheum palmatum; Brassica juncea; Pogostemon cablin,NPO21349,Sorbitol,CHEMBL1682,5780,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017fa70>
12,NPC184437,Alseodaphne perakensis,NPO11155,Hydroxycryptolepine,CHEMBL504189,n.a.,Cn1c2c3ccccc3nc-2c(O)c2ccccc21,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017fae0>
13,NPC118524,Crotalaria tetragona,NPO1517,L-Erythro-Tricholomic Acid,CHEMBL260328,441456,N[C@H](C(=O)O)[C@@H]1CC(O)=NO1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017fc30>
14,NPC278323,Dalbergia parviflora,NPO14114,2'-Methoxybiochanin A,CHEMBL1088580,44257324,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)c(OC)c1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff7a017fca0>
