,SDF Filename,Mode,Affinity (kcal/mol),species_list,pref_name
0,docked_ligand_0.sdf,1,-8.13019,Myrsine capitellata; Equisetum hyemale; Afrocarpus falcatus; Tropaeolum majus; Ixeris chinensis; Centaurea solstitialis; Peganum harmala; Capparis spinosa; Allium tuberosum; Moringa oleifera; Brassica rapa; Alangium longiflorum; Centella asiatica; Impatiens balsamina; Rivina humilis; Nephelium lappaceum; Alstonia muelleriana; Garcinia macrophylla; Corchorus olitorius; Chenopodium quinoa; Phalaris canariensis; Nasturtium officinale; Carum carvi; Diospyros eriantha; Cyrtomium falcatum; Persicaria glabra; Payena lucida; Pteridium aquilinum; Salvia hispanica; Cucumis melo; Caulerpa serrulata; Aristolochia zollingeriana; Rhododendron mucronatum; Houttuynia cordata; Gouania microcarpa; Prunus persica; Lonicera japonica; Glochidion sphaerogynum; Lepidium sativum; Mitragyna speciosa; Hunteria zeylanica; Scolopia chinensis; Rhodiola rosea; Daucus carota; Pyrrosia lingua; Alphitonia macrocarpa; Capsicum annuum; Glinus lotoides; Vitis vinifera; Agrimonia pilosa; Rosa chinensis; Carthamus tinctorius; Atalantia racemosa; Canella winterana; Salacia elliptica; Croton cascarilloides; Melia azedarach; Erythrospermum zeylanicum; Thymus vulgaris; Zingiber officinale; Psychotria serpens; Ipomoea aquatica; Pseudognaphalium affine; Phyllanthus urinaria; Vigna unguiculata; Dichotomaria marginata; Punica granatum; Anethum graveolens; Tarenaya spinosa; Solanum nigrum; Allium ampeloprasum; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Bombax ceiba; Indigofera spicata; Kaempferia galanga; Urtica dioica; Allium cepa; Vicia faba; Clausena lansium; Solanum aculeatissimum; Rosulabryum capillare; Eugenia uniflora; Osmanthus heterophyllus; Diplopterygium glaucum; Targionia hypophylla; Cibotium barometz; Magnolia sprengeri; Cucurbita moschata; Beta vulgaris; Smilax china; Albertisia papuana; Senna siamea; Persicaria orientalis; Tephrosia pumila; Diphasiastrum thyoides; Ophiorrhiza blumeana; Walsura tubulata; Tephrosia vogelii; Annona muricata; Isodon japonicus; Euphorbia hirta; Frullania tamarisci; Macadamia ternifolia; Apium graveolens; Vigna radiata; Murraya paniculata; Carica papaya; Citrus maxima; Crinum latifolium; Morus alba; Foeniculum vulgare; Ipomoea batatas; Oroxylum indicum; Cuscuta australis; Radermachera xylocarpa; Eragrostis viscosa; Nauclea officinalis; Brassica juncea; Persicaria hydropiper; Euonymus alatus; Crescentia cujete; Sarcandra glabra; Mangifera indica; Pogostemon cablin; Urena lobata; Samadera indica; Spinulum annotinum; Solanum lycopersicum; Citrus limon; Desmodium styracifolium; Zingiber spectabile; Pteris dactylina; Nelumbo nucifera; Sinningia cardinalis; Syzygium aromaticum; Dicranopteris linearis; Morinda citrifolia; Solanum tuberosum; Erigeron annuus; Fagraea gracilipes; Croton nitens; Portulaca oleracea; Syzygium nervosum; Phaseolus vulgaris; Dipteryx odorata; Phegopteris connectilis; Glycine tomentella; Myristica fragrans; Bauhinia purpurea; Bauhinia glauca; Etlingera elatior; Petroselinum crispum; Limnocharis flava; Cocos nucifera; Jasminum multiflorum; Amaranthus hypochondriacus; Ixora coccinea; Canarium strictum; Allium sativum; Helicteres angustifolia; Brassica napus; Citrus aurantium; Eucalyptus resinifera; Cucumis sativus; Raphanus sativus; Brassica oleracea; Glycine max; Solanum melongena; Debregeasia orientalis; Sinapis alba; Asparagus officinalis; Artocarpus altilis; Camellia sinensis; Porophyllum ruderale; Artemisia lactiflora; Kaempferia rotunda; Pteris semipinnata; Citrullus lanatus; Catunaregam spinosa; Pyrostegia venusta; Typha angustifolia; Indigofera linnaei,Kaempferol
1,docked_ligand_0.sdf,2,-7.80471,Myrsine capitellata; Equisetum hyemale; Afrocarpus falcatus; Tropaeolum majus; Ixeris chinensis; Centaurea solstitialis; Peganum harmala; Capparis spinosa; Allium tuberosum; Moringa oleifera; Brassica rapa; Alangium longiflorum; Centella asiatica; Impatiens balsamina; Rivina humilis; Nephelium lappaceum; Alstonia muelleriana; Garcinia macrophylla; Corchorus olitorius; Chenopodium quinoa; Phalaris canariensis; Nasturtium officinale; Carum carvi; Diospyros eriantha; Cyrtomium falcatum; Persicaria glabra; Payena lucida; Pteridium aquilinum; Salvia hispanica; Cucumis melo; Caulerpa serrulata; Aristolochia zollingeriana; Rhododendron mucronatum; Houttuynia cordata; Gouania microcarpa; Prunus persica; Lonicera japonica; Glochidion sphaerogynum; Lepidium sativum; Mitragyna speciosa; Hunteria zeylanica; Scolopia chinensis; Rhodiola rosea; Daucus carota; Pyrrosia lingua; Alphitonia macrocarpa; Capsicum annuum; Glinus lotoides; Vitis vinifera; Agrimonia pilosa; Rosa chinensis; Carthamus tinctorius; Atalantia racemosa; Canella winterana; Salacia elliptica; Croton cascarilloides; Melia azedarach; Erythrospermum zeylanicum; Thymus vulgaris; Zingiber officinale; Psychotria serpens; Ipomoea aquatica; Pseudognaphalium affine; Phyllanthus urinaria; Vigna unguiculata; Dichotomaria marginata; Punica granatum; Anethum graveolens; Tarenaya spinosa; Solanum nigrum; Allium ampeloprasum; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Bombax ceiba; Indigofera spicata; Kaempferia galanga; Urtica dioica; Allium cepa; Vicia faba; Clausena lansium; Solanum aculeatissimum; Rosulabryum capillare; Eugenia uniflora; Osmanthus heterophyllus; Diplopterygium glaucum; Targionia hypophylla; Cibotium barometz; Magnolia sprengeri; Cucurbita moschata; Beta vulgaris; Smilax china; Albertisia papuana; Senna siamea; Persicaria orientalis; Tephrosia pumila; Diphasiastrum thyoides; Ophiorrhiza blumeana; Walsura tubulata; Tephrosia vogelii; Annona muricata; Isodon japonicus; Euphorbia hirta; Frullania tamarisci; Macadamia ternifolia; Apium graveolens; Vigna radiata; Murraya paniculata; Carica papaya; Citrus maxima; Crinum latifolium; Morus alba; Foeniculum vulgare; Ipomoea batatas; Oroxylum indicum; Cuscuta australis; Radermachera xylocarpa; Eragrostis viscosa; Nauclea officinalis; Brassica juncea; Persicaria hydropiper; Euonymus alatus; Crescentia cujete; Sarcandra glabra; Mangifera indica; Pogostemon cablin; Urena lobata; Samadera indica; Spinulum annotinum; Solanum lycopersicum; Citrus limon; Desmodium styracifolium; Zingiber spectabile; Pteris dactylina; Nelumbo nucifera; Sinningia cardinalis; Syzygium aromaticum; Dicranopteris linearis; Morinda citrifolia; Solanum tuberosum; Erigeron annuus; Fagraea gracilipes; Croton nitens; Portulaca oleracea; Syzygium nervosum; Phaseolus vulgaris; Dipteryx odorata; Phegopteris connectilis; Glycine tomentella; Myristica fragrans; Bauhinia purpurea; Bauhinia glauca; Etlingera elatior; Petroselinum crispum; Limnocharis flava; Cocos nucifera; Jasminum multiflorum; Amaranthus hypochondriacus; Ixora coccinea; Canarium strictum; Allium sativum; Helicteres angustifolia; Brassica napus; Citrus aurantium; Eucalyptus resinifera; Cucumis sativus; Raphanus sativus; Brassica oleracea; Glycine max; Solanum melongena; Debregeasia orientalis; Sinapis alba; Asparagus officinalis; Artocarpus altilis; Camellia sinensis; Porophyllum ruderale; Artemisia lactiflora; Kaempferia rotunda; Pteris semipinnata; Citrullus lanatus; Catunaregam spinosa; Pyrostegia venusta; Typha angustifolia; Indigofera linnaei,Kaempferol
2,docked_ligand_0.sdf,3,-7.68134,Myrsine capitellata; Equisetum hyemale; Afrocarpus falcatus; Tropaeolum majus; Ixeris chinensis; Centaurea solstitialis; Peganum harmala; Capparis spinosa; Allium tuberosum; Moringa oleifera; Brassica rapa; Alangium longiflorum; Centella asiatica; Impatiens balsamina; Rivina humilis; Nephelium lappaceum; Alstonia muelleriana; Garcinia macrophylla; Corchorus olitorius; Chenopodium quinoa; Phalaris canariensis; Nasturtium officinale; Carum carvi; Diospyros eriantha; Cyrtomium falcatum; Persicaria glabra; Payena lucida; Pteridium aquilinum; Salvia hispanica; Cucumis melo; Caulerpa serrulata; Aristolochia zollingeriana; Rhododendron mucronatum; Houttuynia cordata; Gouania microcarpa; Prunus persica; Lonicera japonica; Glochidion sphaerogynum; Lepidium sativum; Mitragyna speciosa; Hunteria zeylanica; Scolopia chinensis; Rhodiola rosea; Daucus carota; Pyrrosia lingua; Alphitonia macrocarpa; Capsicum annuum; Glinus lotoides; Vitis vinifera; Agrimonia pilosa; Rosa chinensis; Carthamus tinctorius; Atalantia racemosa; Canella winterana; Salacia elliptica; Croton cascarilloides; Melia azedarach; Erythrospermum zeylanicum; Thymus vulgaris; Zingiber officinale; Psychotria serpens; Ipomoea aquatica; Pseudognaphalium affine; Phyllanthus urinaria; Vigna unguiculata; Dichotomaria marginata; Punica granatum; Anethum graveolens; Tarenaya spinosa; Solanum nigrum; Allium ampeloprasum; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Bombax ceiba; Indigofera spicata; Kaempferia galanga; Urtica dioica; Allium cepa; Vicia faba; Clausena lansium; Solanum aculeatissimum; Rosulabryum capillare; Eugenia uniflora; Osmanthus heterophyllus; Diplopterygium glaucum; Targionia hypophylla; Cibotium barometz; Magnolia sprengeri; Cucurbita moschata; Beta vulgaris; Smilax china; Albertisia papuana; Senna siamea; Persicaria orientalis; Tephrosia pumila; Diphasiastrum thyoides; Ophiorrhiza blumeana; Walsura tubulata; Tephrosia vogelii; Annona muricata; Isodon japonicus; Euphorbia hirta; Frullania tamarisci; Macadamia ternifolia; Apium graveolens; Vigna radiata; Murraya paniculata; Carica papaya; Citrus maxima; Crinum latifolium; Morus alba; Foeniculum vulgare; Ipomoea batatas; Oroxylum indicum; Cuscuta australis; Radermachera xylocarpa; Eragrostis viscosa; Nauclea officinalis; Brassica juncea; Persicaria hydropiper; Euonymus alatus; Crescentia cujete; Sarcandra glabra; Mangifera indica; Pogostemon cablin; Urena lobata; Samadera indica; Spinulum annotinum; Solanum lycopersicum; Citrus limon; Desmodium styracifolium; Zingiber spectabile; Pteris dactylina; Nelumbo nucifera; Sinningia cardinalis; Syzygium aromaticum; Dicranopteris linearis; Morinda citrifolia; Solanum tuberosum; Erigeron annuus; Fagraea gracilipes; Croton nitens; Portulaca oleracea; Syzygium nervosum; Phaseolus vulgaris; Dipteryx odorata; Phegopteris connectilis; Glycine tomentella; Myristica fragrans; Bauhinia purpurea; Bauhinia glauca; Etlingera elatior; Petroselinum crispum; Limnocharis flava; Cocos nucifera; Jasminum multiflorum; Amaranthus hypochondriacus; Ixora coccinea; Canarium strictum; Allium sativum; Helicteres angustifolia; Brassica napus; Citrus aurantium; Eucalyptus resinifera; Cucumis sativus; Raphanus sativus; Brassica oleracea; Glycine max; Solanum melongena; Debregeasia orientalis; Sinapis alba; Asparagus officinalis; Artocarpus altilis; Camellia sinensis; Porophyllum ruderale; Artemisia lactiflora; Kaempferia rotunda; Pteris semipinnata; Citrullus lanatus; Catunaregam spinosa; Pyrostegia venusta; Typha angustifolia; Indigofera linnaei,Kaempferol
3,docked_ligand_0.sdf,4,-7.67686,Myrsine capitellata; Equisetum hyemale; Afrocarpus falcatus; Tropaeolum majus; Ixeris chinensis; Centaurea solstitialis; Peganum harmala; Capparis spinosa; Allium tuberosum; Moringa oleifera; Brassica rapa; Alangium longiflorum; Centella asiatica; Impatiens balsamina; Rivina humilis; Nephelium lappaceum; Alstonia muelleriana; Garcinia macrophylla; Corchorus olitorius; Chenopodium quinoa; Phalaris canariensis; Nasturtium officinale; Carum carvi; Diospyros eriantha; Cyrtomium falcatum; Persicaria glabra; Payena lucida; Pteridium aquilinum; Salvia hispanica; Cucumis melo; Caulerpa serrulata; Aristolochia zollingeriana; Rhododendron mucronatum; Houttuynia cordata; Gouania microcarpa; Prunus persica; Lonicera japonica; Glochidion sphaerogynum; Lepidium sativum; Mitragyna speciosa; Hunteria zeylanica; Scolopia chinensis; Rhodiola rosea; Daucus carota; Pyrrosia lingua; Alphitonia macrocarpa; Capsicum annuum; Glinus lotoides; Vitis vinifera; Agrimonia pilosa; Rosa chinensis; Carthamus tinctorius; Atalantia racemosa; Canella winterana; Salacia elliptica; Croton cascarilloides; Melia azedarach; Erythrospermum zeylanicum; Thymus vulgaris; Zingiber officinale; Psychotria serpens; Ipomoea aquatica; Pseudognaphalium affine; Phyllanthus urinaria; Vigna unguiculata; Dichotomaria marginata; Punica granatum; Anethum graveolens; Tarenaya spinosa; Solanum nigrum; Allium ampeloprasum; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Bombax ceiba; Indigofera spicata; Kaempferia galanga; Urtica dioica; Allium cepa; Vicia faba; Clausena lansium; Solanum aculeatissimum; Rosulabryum capillare; Eugenia uniflora; Osmanthus heterophyllus; Diplopterygium glaucum; Targionia hypophylla; Cibotium barometz; Magnolia sprengeri; Cucurbita moschata; Beta vulgaris; Smilax china; Albertisia papuana; Senna siamea; Persicaria orientalis; Tephrosia pumila; Diphasiastrum thyoides; Ophiorrhiza blumeana; Walsura tubulata; Tephrosia vogelii; Annona muricata; Isodon japonicus; Euphorbia hirta; Frullania tamarisci; Macadamia ternifolia; Apium graveolens; Vigna radiata; Murraya paniculata; Carica papaya; Citrus maxima; Crinum latifolium; Morus alba; Foeniculum vulgare; Ipomoea batatas; Oroxylum indicum; Cuscuta australis; Radermachera xylocarpa; Eragrostis viscosa; Nauclea officinalis; Brassica juncea; Persicaria hydropiper; Euonymus alatus; Crescentia cujete; Sarcandra glabra; Mangifera indica; Pogostemon cablin; Urena lobata; Samadera indica; Spinulum annotinum; Solanum lycopersicum; Citrus limon; Desmodium styracifolium; Zingiber spectabile; Pteris dactylina; Nelumbo nucifera; Sinningia cardinalis; Syzygium aromaticum; Dicranopteris linearis; Morinda citrifolia; Solanum tuberosum; Erigeron annuus; Fagraea gracilipes; Croton nitens; Portulaca oleracea; Syzygium nervosum; Phaseolus vulgaris; Dipteryx odorata; Phegopteris connectilis; Glycine tomentella; Myristica fragrans; Bauhinia purpurea; Bauhinia glauca; Etlingera elatior; Petroselinum crispum; Limnocharis flava; Cocos nucifera; Jasminum multiflorum; Amaranthus hypochondriacus; Ixora coccinea; Canarium strictum; Allium sativum; Helicteres angustifolia; Brassica napus; Citrus aurantium; Eucalyptus resinifera; Cucumis sativus; Raphanus sativus; Brassica oleracea; Glycine max; Solanum melongena; Debregeasia orientalis; Sinapis alba; Asparagus officinalis; Artocarpus altilis; Camellia sinensis; Porophyllum ruderale; Artemisia lactiflora; Kaempferia rotunda; Pteris semipinnata; Citrullus lanatus; Catunaregam spinosa; Pyrostegia venusta; Typha angustifolia; Indigofera linnaei,Kaempferol
4,docked_ligand_0.sdf,5,-7.62439,Myrsine capitellata; Equisetum hyemale; Afrocarpus falcatus; Tropaeolum majus; Ixeris chinensis; Centaurea solstitialis; Peganum harmala; Capparis spinosa; Allium tuberosum; Moringa oleifera; Brassica rapa; Alangium longiflorum; Centella asiatica; Impatiens balsamina; Rivina humilis; Nephelium lappaceum; Alstonia muelleriana; Garcinia macrophylla; Corchorus olitorius; Chenopodium quinoa; Phalaris canariensis; Nasturtium officinale; Carum carvi; Diospyros eriantha; Cyrtomium falcatum; Persicaria glabra; Payena lucida; Pteridium aquilinum; Salvia hispanica; Cucumis melo; Caulerpa serrulata; Aristolochia zollingeriana; Rhododendron mucronatum; Houttuynia cordata; Gouania microcarpa; Prunus persica; Lonicera japonica; Glochidion sphaerogynum; Lepidium sativum; Mitragyna speciosa; Hunteria zeylanica; Scolopia chinensis; Rhodiola rosea; Daucus carota; Pyrrosia lingua; Alphitonia macrocarpa; Capsicum annuum; Glinus lotoides; Vitis vinifera; Agrimonia pilosa; Rosa chinensis; Carthamus tinctorius; Atalantia racemosa; Canella winterana; Salacia elliptica; Croton cascarilloides; Melia azedarach; Erythrospermum zeylanicum; Thymus vulgaris; Zingiber officinale; Psychotria serpens; Ipomoea aquatica; Pseudognaphalium affine; Phyllanthus urinaria; Vigna unguiculata; Dichotomaria marginata; Punica granatum; Anethum graveolens; Tarenaya spinosa; Solanum nigrum; Allium ampeloprasum; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Bombax ceiba; Indigofera spicata; Kaempferia galanga; Urtica dioica; Allium cepa; Vicia faba; Clausena lansium; Solanum aculeatissimum; Rosulabryum capillare; Eugenia uniflora; Osmanthus heterophyllus; Diplopterygium glaucum; Targionia hypophylla; Cibotium barometz; Magnolia sprengeri; Cucurbita moschata; Beta vulgaris; Smilax china; Albertisia papuana; Senna siamea; Persicaria orientalis; Tephrosia pumila; Diphasiastrum thyoides; Ophiorrhiza blumeana; Walsura tubulata; Tephrosia vogelii; Annona muricata; Isodon japonicus; Euphorbia hirta; Frullania tamarisci; Macadamia ternifolia; Apium graveolens; Vigna radiata; Murraya paniculata; Carica papaya; Citrus maxima; Crinum latifolium; Morus alba; Foeniculum vulgare; Ipomoea batatas; Oroxylum indicum; Cuscuta australis; Radermachera xylocarpa; Eragrostis viscosa; Nauclea officinalis; Brassica juncea; Persicaria hydropiper; Euonymus alatus; Crescentia cujete; Sarcandra glabra; Mangifera indica; Pogostemon cablin; Urena lobata; Samadera indica; Spinulum annotinum; Solanum lycopersicum; Citrus limon; Desmodium styracifolium; Zingiber spectabile; Pteris dactylina; Nelumbo nucifera; Sinningia cardinalis; Syzygium aromaticum; Dicranopteris linearis; Morinda citrifolia; Solanum tuberosum; Erigeron annuus; Fagraea gracilipes; Croton nitens; Portulaca oleracea; Syzygium nervosum; Phaseolus vulgaris; Dipteryx odorata; Phegopteris connectilis; Glycine tomentella; Myristica fragrans; Bauhinia purpurea; Bauhinia glauca; Etlingera elatior; Petroselinum crispum; Limnocharis flava; Cocos nucifera; Jasminum multiflorum; Amaranthus hypochondriacus; Ixora coccinea; Canarium strictum; Allium sativum; Helicteres angustifolia; Brassica napus; Citrus aurantium; Eucalyptus resinifera; Cucumis sativus; Raphanus sativus; Brassica oleracea; Glycine max; Solanum melongena; Debregeasia orientalis; Sinapis alba; Asparagus officinalis; Artocarpus altilis; Camellia sinensis; Porophyllum ruderale; Artemisia lactiflora; Kaempferia rotunda; Pteris semipinnata; Citrullus lanatus; Catunaregam spinosa; Pyrostegia venusta; Typha angustifolia; Indigofera linnaei,Kaempferol
5,docked_ligand_1.sdf,1,-8.31993,Callicarpa japonica; Avrainvillea longicaulis; Brassica rapa; Dodonaea viscosa; Aristolochia zollingeriana; Lepidium sativum; Zea mays; Bryum argenteum; Daucus carota; Capsicum annuum; Entada phaseoloides; Jackiella javanica; Pangium edule; Anethum graveolens; Magnolia montana; Exallage auricularia; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Sterculia foetida; Allium cepa; Diplopterygium glaucum; Targionia hypophylla; Senna siamea; Diphasiastrum thyoides; Annona muricata; Euphorbia hirta; Gmelina asiatica; Virola surinamensis; Vigna mungo; Morus alba; Foeniculum vulgare; Phyllanthus emblica; Cuscuta australis; Solanum lycopersicum; Desmodium styracifolium; Nelumbo nucifera; Portulaca oleracea; Phaseolus vulgaris; Oenanthe javanica; Myristica fragrans; Bauhinia glauca; Petroselinum crispum; Limnocharis flava; Amaranthus hypochondriacus; Allium sativum; Helicteres angustifolia; Eucalyptus resinifera; Cucumis sativus; Brassica oleracea; Solanum melongena; Sinapis alba; Typha angustifolia,Isorhamnetin
6,docked_ligand_1.sdf,2,-8.31333,Callicarpa japonica; Avrainvillea longicaulis; Brassica rapa; Dodonaea viscosa; Aristolochia zollingeriana; Lepidium sativum; Zea mays; Bryum argenteum; Daucus carota; Capsicum annuum; Entada phaseoloides; Jackiella javanica; Pangium edule; Anethum graveolens; Magnolia montana; Exallage auricularia; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Sterculia foetida; Allium cepa; Diplopterygium glaucum; Targionia hypophylla; Senna siamea; Diphasiastrum thyoides; Annona muricata; Euphorbia hirta; Gmelina asiatica; Virola surinamensis; Vigna mungo; Morus alba; Foeniculum vulgare; Phyllanthus emblica; Cuscuta australis; Solanum lycopersicum; Desmodium styracifolium; Nelumbo nucifera; Portulaca oleracea; Phaseolus vulgaris; Oenanthe javanica; Myristica fragrans; Bauhinia glauca; Petroselinum crispum; Limnocharis flava; Amaranthus hypochondriacus; Allium sativum; Helicteres angustifolia; Eucalyptus resinifera; Cucumis sativus; Brassica oleracea; Solanum melongena; Sinapis alba; Typha angustifolia,Isorhamnetin
7,docked_ligand_1.sdf,3,-8.02687,Callicarpa japonica; Avrainvillea longicaulis; Brassica rapa; Dodonaea viscosa; Aristolochia zollingeriana; Lepidium sativum; Zea mays; Bryum argenteum; Daucus carota; Capsicum annuum; Entada phaseoloides; Jackiella javanica; Pangium edule; Anethum graveolens; Magnolia montana; Exallage auricularia; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Sterculia foetida; Allium cepa; Diplopterygium glaucum; Targionia hypophylla; Senna siamea; Diphasiastrum thyoides; Annona muricata; Euphorbia hirta; Gmelina asiatica; Virola surinamensis; Vigna mungo; Morus alba; Foeniculum vulgare; Phyllanthus emblica; Cuscuta australis; Solanum lycopersicum; Desmodium styracifolium; Nelumbo nucifera; Portulaca oleracea; Phaseolus vulgaris; Oenanthe javanica; Myristica fragrans; Bauhinia glauca; Petroselinum crispum; Limnocharis flava; Amaranthus hypochondriacus; Allium sativum; Helicteres angustifolia; Eucalyptus resinifera; Cucumis sativus; Brassica oleracea; Solanum melongena; Sinapis alba; Typha angustifolia,Isorhamnetin
8,docked_ligand_1.sdf,4,-7.9476,Callicarpa japonica; Avrainvillea longicaulis; Brassica rapa; Dodonaea viscosa; Aristolochia zollingeriana; Lepidium sativum; Zea mays; Bryum argenteum; Daucus carota; Capsicum annuum; Entada phaseoloides; Jackiella javanica; Pangium edule; Anethum graveolens; Magnolia montana; Exallage auricularia; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Sterculia foetida; Allium cepa; Diplopterygium glaucum; Targionia hypophylla; Senna siamea; Diphasiastrum thyoides; Annona muricata; Euphorbia hirta; Gmelina asiatica; Virola surinamensis; Vigna mungo; Morus alba; Foeniculum vulgare; Phyllanthus emblica; Cuscuta australis; Solanum lycopersicum; Desmodium styracifolium; Nelumbo nucifera; Portulaca oleracea; Phaseolus vulgaris; Oenanthe javanica; Myristica fragrans; Bauhinia glauca; Petroselinum crispum; Limnocharis flava; Amaranthus hypochondriacus; Allium sativum; Helicteres angustifolia; Eucalyptus resinifera; Cucumis sativus; Brassica oleracea; Solanum melongena; Sinapis alba; Typha angustifolia,Isorhamnetin
9,docked_ligand_1.sdf,5,-7.88401,Callicarpa japonica; Avrainvillea longicaulis; Brassica rapa; Dodonaea viscosa; Aristolochia zollingeriana; Lepidium sativum; Zea mays; Bryum argenteum; Daucus carota; Capsicum annuum; Entada phaseoloides; Jackiella javanica; Pangium edule; Anethum graveolens; Magnolia montana; Exallage auricularia; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Sterculia foetida; Allium cepa; Diplopterygium glaucum; Targionia hypophylla; Senna siamea; Diphasiastrum thyoides; Annona muricata; Euphorbia hirta; Gmelina asiatica; Virola surinamensis; Vigna mungo; Morus alba; Foeniculum vulgare; Phyllanthus emblica; Cuscuta australis; Solanum lycopersicum; Desmodium styracifolium; Nelumbo nucifera; Portulaca oleracea; Phaseolus vulgaris; Oenanthe javanica; Myristica fragrans; Bauhinia glauca; Petroselinum crispum; Limnocharis flava; Amaranthus hypochondriacus; Allium sativum; Helicteres angustifolia; Eucalyptus resinifera; Cucumis sativus; Brassica oleracea; Solanum melongena; Sinapis alba; Typha angustifolia,Isorhamnetin
